,SpringFR,SpringFL,SpringRR,SpringRL,WishboneTargetFR,WishboneTargetFL,WishboneRRTarget,WishboneRLTarget,turn_right,turn_left
1,1.036876,1.03691053,0.995876,0.9959106,-0.003865838,-0.00381551683,-0.01774335,-0.00299274921,False,False
11,1.036876,1.03691053,0.995876,0.9959106,-0.00386580825,-0.003815487,-0.01774335,-0.00299274921,False,False
13,1.036876,1.03691053,0.995876,0.9959106,-0.003865838,-0.00381551683,-0.0177433789,-0.002992779,False,False
12,1.036876,1.03691053,0.995876,0.9959106,-0.00386580825,-0.00381554663,-0.0177433789,-0.002992779,False,False
15,1.036876,1.03691053,0.995876,0.9959106,-0.00386589766,-0.00381560624,-0.0177433789,-0.002992779,False,False
14,1.036876,1.03691053,0.995876,0.9959106,-0.00386577845,-0.00381556153,-0.01774335,-0.00299274921,False,False
18,1.036876,1.03691053,0.995876,0.9959106,-0.003865838,-0.00381551683,-0.0177433789,-0.002992779,False,False
17,1.036876,1.03691053,0.995876,0.9959106,-0.00386589766,-0.00381560624,-0.0177434385,-0.002992779,False,False
2,1.036876,1.03691053,0.995876,0.9959106,-0.003865838,-0.00381551683,-0.01774335,-0.00299274921,False,False
16,1.036876,1.03691053,0.995876,0.9959106,-0.00386589766,-0.00381560624,-0.0177434385,-0.002992779,False,False
19,1.036876,1.03691053,0.995876,0.9959106,-0.00386586785,-0.00381551683,-0.0177433789,-0.002992779,False,False
21,1.036876,1.03691053,0.995876,0.9959106,-0.003865838,-0.00381551683,-0.0177433789,-0.002992779,False,False
20,1.036876,1.03691053,0.995876,0.9959106,-0.00386586785,-0.00381551683,-0.0177433789,-0.002992779,False,False
24,1.036876,1.03691053,0.995876,0.9959106,-0.00386589766,-0.00381560624,-0.0177434385,-0.002992779,False,False
25,1.036876,1.03691053,0.995876,0.9959106,-0.00386589766,-0.00381557643,-0.0177433789,-0.002992779,False,False
22,1.036876,1.03691053,0.995876,0.9959106,-0.003865838,-0.00381551683,-0.0177433789,-0.002992779,False,False
