,SpringFR,SpringFL,SpringRR,SpringRL,WishboneTargetFR,WishboneTargetFL,WishboneRRTarget,WishboneRLTarget,turn_right,turn_left,state
1,0.7,0.7,0.7,0.7,-0.002634734,-0.00256320834,-0.016256392,-0.00151079893,False,False,normal
2,0.719999969,0.719999969,0.719999969,0.719999969,0.05258724,0.05261123,0.0387782753,0.0534825325,False,False,normal
3,1.03999972,1.03999972,1.01009345,1.01103592,-0.0119030178,-0.0120742917,-0.0214643031,-0.006943375,False,False,normal
4,1.0599997,1.0599997,1.01089072,1.0118959,-0.0122574866,-0.01244536,-0.0216368437,-0.00713205338,False,False,normal
5,1.07025337,1.07128835,1.01091623,1.01195121,-0.0122531652,-0.0124508739,-0.0216160119,-0.007118672,False,False,normal
6,1.07025337,1.07128835,1.01091623,1.01195121,-0.0122531652,-0.0124508739,-0.0216160119,-0.007118672,False,False,normal
7,1.07025337,1.07128835,1.01091623,1.01195121,-0.0122531652,-0.0124508739,-0.0216160119,-0.007118672,False,False,normal
8,1.06920671,1.0702405,1.01035261,1.01138639,-0.0119609833,-0.0121584237,-0.0214498639,-0.006952733,False,False,normal
9,1.06920671,1.0702405,1.01035261,1.01138639,-0.0119609833,-0.0121584237,-0.0214498639,-0.006952733,False,False,normal
10,1.06724739,1.06825185,1.00935888,1.0103631,-0.0114468932,-0.0116350651,-0.0211800188,-0.0066755116,False,False,normal
11,1.06461692,1.06556773,1.00807071,1.00902176,-0.0107693374,-0.0109436512,-0.02084142,-0.00632306933,False,False,normal
12,1.06461692,1.06556773,1.00807071,1.00902176,-0.0107693374,-0.0109436512,-0.02084142,-0.00632306933,False,False,normal
13,1.06153584,1.06241322,1.00660777,1.00748515,-0.009982377,-0.0101369023,-0.020459041,-0.0059223175,False,False,normal
14,1.05819583,1.05898476,1.00506258,1.00585151,-0.009135067,-0.009265095,-0.0200584829,-0.00549915433,False,False,normal
15,1.05819583,1.05898476,1.00506258,1.00585151,-0.009135067,-0.009265095,-0.0200584829,-0.00549915433,False,False,normal
16,1.05476427,1.05545521,1.00351071,1.00420165,-0.00826776,-0.00837084651,-0.0196587145,-0.005073905,False,False,normal
17,1.05137515,1.0519619,1.002007,1.002594,-0.007418573,-0.007494271,-0.0192766488,-0.00466537476,False,False,normal
18,1.04813838,1.04862,1.000598,1.0010798,-0.006606132,-0.006653607,-0.0189167559,-0.00427871943,False,False,normal
19,1.04813838,1.04862,1.000598,1.0010798,-0.006606132,-0.006653607,-0.0189167559,-0.00427871943,False,False,normal
20,1.04813838,1.04862,1.000598,1.0010798,-0.006606132,-0.006653607,-0.0189167559,-0.00427871943,False,False,normal
21,1.04813838,1.04862,1.000598,1.0010798,-0.006606132,-0.006653607,-0.0189167559,-0.00427871943,False,False,normal
23,1.0451405,1.04551983,0.9993169,0.9996962,-0.0058586,-0.005877644,-0.0185913146,-0.003927231,False,False,normal
22,1.0451405,1.04551983,0.9993169,0.9996962,-0.0058586,-0.005877644,-0.0185913146,-0.003927231,False,False,normal
24,1.0451405,1.04551983,0.9993169,0.9996962,-0.0058586,-0.005877644,-0.0185913146,-0.003927231,False,False,normal
25,1.0451405,1.04551983,0.9993169,0.9996962,-0.0058586,-0.005877644,-0.0185913146,-0.003927231,False,False,normal
26,1.0451405,1.04551983,0.9993169,0.9996962,-0.0058586,-0.005877644,-0.0185913146,-0.003927231,False,False,normal
27,1.04243612,1.04271793,0.9981784,0.9984605,-0.005183935,-0.00517717,-0.0183029175,-0.00361397862,False,False,normal
28,1.04243612,1.04271793,0.9981784,0.9984605,-0.005183935,-0.00517717,-0.0183029175,-0.00361397862,False,False,normal
29,1.04243612,1.04271793,0.9981784,0.9984605,-0.005183935,-0.00517717,-0.0183029175,-0.00361397862,False,False,normal
31,1.04243612,1.04271793,0.9981784,0.9984605,-0.005183935,-0.00517717,-0.0183029175,-0.00361397862,False,False,normal
30,1.04243612,1.04271793,0.9981784,0.9984605,-0.005183935,-0.00517717,-0.0183029175,-0.00361397862,False,False,normal
34,1.04006362,1.04025578,0.9971935,0.9973857,-0.004597068,-0.004566431,-0.0180562288,-0.00334483385,False,False,normal
32,1.04006362,1.04025578,0.9971935,0.9973857,-0.004597068,-0.004566431,-0.0180562288,-0.00334483385,False,False,normal
33,1.04006362,1.04025578,0.9971935,0.9973857,-0.004597068,-0.004566431,-0.0180562288,-0.00334483385,False,False,normal
35,1.04006362,1.04025578,0.9971935,0.9973857,-0.004597068,-0.004566431,-0.0180562288,-0.00334483385,False,False,normal
37,1.04006362,1.04025578,0.9971935,0.9973857,-0.004597068,-0.004566431,-0.0180562288,-0.00334483385,False,False,normal
36,1.04006362,1.04025578,0.9971935,0.9973857,-0.004597068,-0.004566431,-0.0180562288,-0.00334483385,False,False,normal
38,1.03804135,1.03815341,0.9963643,0.9964766,-0.004098147,-0.00404560566,-0.0178498924,-0.00311803818,False,False,normal
